ticker,series,strategy,yes_ask,entry_price,pnl
KXSOLD-26AUG0105-T72.9999,KXSOLD,lotto_yes,0.11,0.11,-0.116853
KXSOLD-26AUG0104-T72.9999,KXSOLD,fade_no,0.14,0.9299999999999999,0.06544300000000006
KXSOLD-26AUG0104-T72.9999,KXSOLD,lotto_yes,0.14,0.14,-0.148428
KXSOLD-26AUG0103-T72.9999,KXSOLD,fade_no,0.15,0.86,0.13157200000000002
KXSOLD-26AUG0103-T72.9999,KXSOLD,lotto_yes,0.15,0.15,-0.15892499999999998
KXSOLD-26AUG0102-T72.9999,KXSOLD,fade_no,0.09,0.92,0.07484799999999996
KXSOLD-26AUG0102-T72.9999,KXSOLD,lotto_yes,0.09,0.09,-0.095733
KXSOLD-26AUG0102-T72.7499,KXSOLD,fav_yes,0.94,0.94,0.056052000000000046
KXSOLD-26AUG0101-T73.2499,KXSOLD,fade_no,0.04,0.98,0.018628000000000016
KXSOLD-26AUG0101-T73.2499,KXSOLD,lotto_yes,0.04,0.04,-0.042688000000000004
KXSOLD-26AUG0101-T72.9999,KXSOLD,fav_yes,0.83,0.83,0.16012300000000004
KXSOLD-26AUG0100-T72.9999,KXSOLD,fade_no,0.1,0.9299999999999999,0.06544300000000006
KXSOLD-26AUG0100-T72.9999,KXSOLD,lotto_yes,0.1,0.1,-0.1063
KXSOLD-26AUG0100-T72.7499,KXSOLD,fav_yes,0.95,0.95,0.04667500000000004
