mid_decile,spread_cents,n,avg_bid_size,avg_ask_size
5,31,77,8.337662337662337,12.853766233766233
5,32,169,5.1598224852071,15.29698224852071
5,33,144,6.847986111111111,8.620069444444445
5,34,87,4.48735632183908,8.102528735632184
5,35,50,24.226,18.1492
5,36,69,76.72463768115942,16.38231884057971
5,37,102,18.04901960784314,174.91549019607845
5,38,94,60.755319148936174,25.740212765957445
5,39,116,90.87931034482759,5.601465517241379
5,40,19,5.631578947368421,3.9578947368421056
5,41,59,89.59322033898304,9.169491525423728
5,42,187,4.759358288770054,3.254491978609626
5,43,51,3.843137254901961,20.92156862745098
5,44,196,925.1971428571429,44.061530612244894
5,45,13,25.26846153846154,4.7553846153846155
5,46,20,96.7,4.9
5,47,13,95.48307692307692,118.53846153846153
5,48,398,1419.0724623115577,37.49422110552764
5,49,3,93.66666666666667,5000.0
5,50,5,99.6,2202.6
5,51,1,5.0,242.0
5,52,2,160.5,2545.0
5,53,289,277.6159169550173,2213.536332179931
5,54,144,8.23611111111111,3.0625
5,55,135,257.74074074074076,5.011555555555555
5,56,5,203.4,206.0
5,57,8,129.5,1918.5875
5,58,3,151.33333333333334,3336.0
5,59,68,325.0,37.76470588235294
5,60,2,216.5,132.5
5,61,41,307.5365853658537,166.9868292682927
5,62,128,291.0,165.0
5,63,4,9.0,4.6425
5,64,499,5.673346693386773,7.579018036072144
5,65,138,44.68115942028985,56.19978260869565
5,66,51,249.39764705882354,24.743529411764708
5,67,374,270.0,311.2513368983957
5,69,1,10.0,9.0
5,70,1,6.0,52.0
5,71,7,5.0,16.0
5,72,1,1.0,9.0
5,73,9,10.666666666666666,3.928888888888889
5,74,11,429.27272727272725,20.817272727272726
5,75,8,4.625,637.875
5,76,6,899.0,7.0
5,77,14,818.7857142857143,2094.4264285714285
5,78,10,17.9,4975.0
5,79,24,241.20833333333334,4604.3550000000005
5,80,1,5142.0,5000.0
5,81,14,859.0,2265.5514285714285
5,86,1,0.1,18.95
5,89,2,220.0,69.0
5,90,6,57.333333333333336,129.0
5,91,1,313.34,1.0
5,92,5,198.46800000000002,1177.8
5,93,1,238.0,2520.0
5,94,132,1320.0,1500.0
5,95,34,438.2352941176471,44.705882352941174
5,98,910,247.54945054945054,98.40879120879121
