ticker,ts,side,price,pnl
KXBTC-26AUG1103-B63950,1786430204277,buy,0.2,0.8
KXBTC-26AUG1103-B63950,1786430301007,sell,0.18,-0.8200000000000001
KXBTC-26AUG1103-B63950,1786430350868,sell,0.22,-0.78
KXBTC-26AUG1103-B63950,1786430400446,sell,0.29,-0.71
KXBTC-26AUG1103-B63950,1786430550397,buy,0.48,0.52
KXBTC-26AUG1103-B63950,1786430600087,buy,0.4,0.6
KXBTC-26AUG1103-B63950,1786430699964,buy,0.29,0.71
KXBTC-26AUG1103-B63950,1786430750404,sell,0.22,-0.78
KXBTC-26AUG1103-B63950,1786430800096,buy,0.29,0.71
KXBTC-26AUG1103-B63950,1786431050001,buy,0.18,0.8200000000000001
KXBTC-26AUG1103-B63950,1786431150651,buy,0.06,0.94
KXBTC-26AUG1103-B63950,1786431500057,sell,0.03,-0.97
KXBTC-26AUG1103-B63950,1786431549976,sell,0.09,-0.91
KXBTC-26AUG1103-B64050,1786428849991,buy,0.33,-0.33
KXBTC-26AUG1103-B64050,1786429000142,buy,0.24,-0.24
KXBTC-26AUG1103-B64050,1786429200660,buy,0.2,-0.2
KXBTC-26AUG1104-B63750,1786431908808,buy,0.08,-0.08
KXBTC-26AUG1104-B63750,1786432705085,sell,0.09,0.09
KXBTC-26AUG1104-B63750,1786432855247,sell,0.14,0.14
KXBTC-26AUG1104-B63850,1786431904043,buy,0.31,-0.31
KXBTC-26AUG1104-B63850,1786431953796,buy,0.25,-0.25
KXBTC-26AUG1104-B63850,1786432003895,sell,0.22,0.22
KXBTC-26AUG1104-B63850,1786432154777,buy,0.31,-0.31
KXBTC-26AUG1104-B63850,1786432505264,sell,0.35,0.35
KXBTC-26AUG1104-B63850,1786432705274,sell,0.39,0.39
KXBTC-26AUG1104-B63950,1786431904194,sell,0.4,0.4
KXBTC-26AUG1104-B63950,1786432154923,sell,0.39,0.39
KXBTC-26AUG1104-B63950,1786432504959,buy,0.41,-0.41
KXBTC-26AUG1104-B63950,1786432604873,sell,0.38,0.38
KXBTC-26AUG1104-B63950,1786432704942,buy,0.41,-0.41
KXBTC-26AUG1104-B63950,1786432754970,buy,0.27,-0.27
KXBTC-26AUG1104-B63950,1786432855052,buy,0.25,-0.25
KXBTC-26AUG1104-B63950,1786432904713,sell,0.2,0.2
KXBTC-26AUG1104-B63950,1786433253674,sell,0.28,0.28
KXBTC-26AUG1104-B63950,1786433303635,buy,0.31,-0.31
